Date,USD_rate,Inflation_rate,gold_price_USD,gold_price_NPR,interest_rate,festivals/weeding,nepse_index
7/10/2025,137.025,0.022,3323.07,187384,0.06,0,2743.09
7/9/2025,137.085,0.022,3313.72,186939,0.06,0,2707.91
7/8/2025,137.12,0.022,3300.7,186252,0.06,0,2690.13
7/7/2025,137.37,0.022,3335.61,188565,0.06,0,2718.1
7/4/2025,136.635,0.022,3336.64,187614,0.06,0,2721.58
7/3/2025,136.505,0.022,3326.57,186870,0.06,0,2716.93
7/2/2025,137.13,0.022,3357.36,189463,0.06,0,2696.13
7/1/2025,136.84,0.022,3339.21,188040,0.06,0,2663.24
6/30/2025,137.215,0.0272,3303.69,186550,0.065,0,2638.72
6/27/2025,136.77,0.0272,3274.25,184288,0.065,0,2626.21
6/26/2025,137.135,0.0272,3328.06,187816,0.065,0,2617.65
6/25/2025,137.73,0.0272,3332.46,188881,0.065,0,2607.71
6/24/2025,137.57,0.0272,3324.2,188193,0.065,0,2629.26
6/23/2025,138.81,0.0272,3368.88,192442,0.065,0,2608.56
6/20/2025,138.545,0.0272,3368.23,192038,0.065,0,2631.82
6/19/2025,138.765,0.0272,3370.75,192486,0.065,0,2661.33
6/18/2025,138.37,0.0272,3369.09,191844,0.065,0,2662.69
6/17/2025,137.99,0.0272,3388.74,192433,0.065,0,2670.25
6/16/2025,137.71,0.0272,3383.2,191729,0.065,0,2679.74
6/13/2025,137.735,0.0272,3432.64,194566,0.065,0,2667.68
6/12/2025,136.97,0.0272,3385.29,190816,0.065,0,2672.42
6/11/2025,136.825,0.0272,3353.84,188843,0.065,0,2686.45
6/10/2025,136.97,0.0272,3323.02,187306,0.065,0,2683.25
6/9/2025,137.0,0.0272,3328.33,187647,0.065,0,2657.34
6/6/2025,137.01,0.0272,3310.17,186636,0.065,0,2645.22
6/5/2025,137.27,0.0272,3354.16,189476,0.065,0,2661.77
6/4/2025,137.45,0.0272,3376.54,190990,0.065,0,2664.59
6/3/2025,136.95,0.0272,3352.25,188926,0.065,0,2699.28
6/2/2025,136.62,0.0272,3380.21,190043,0.065,0,2726.6
5/30/2025,136.93,0.0277,3289.4,185357,0.065,0,2696.78
5/29/2025,136.82,0.0277,3317.02,186763,0.065,0,2678.915
5/28/2025,136.585,0.0277,3289.76,184910,0.065,0,2678.915
5/27/2025,136.535,0.0277,3300.68,185456,0.065,0,2684.77
5/26/2025,136.145,0.0277,3342.94,187294,0.065,0,2745.89
5/23/2025,136.35,0.0277,3357.42,188389,0.065,0,2703.78
5/22/2025,137.61,0.0277,3295.0,186595,0.065,0,2705.56
5/21/2025,137.03,0.0277,3314.99,186935,0.065,0,2771.47
5/20/2025,137.025,0.0277,3290.12,185526,0.065,0,2681.58
5/19/2025,136.65,0.0277,3229.85,181629,0.065,0,2639.69
5/16/2025,136.815,0.0277,3202.77,180324,0.065,0,2625.26
5/15/2025,136.89,0.0277,3240.87,182569,0.065,0,2628.67
5/14/2025,136.44,0.0277,3178.75,178481,0.065,0,2642.96
5/13/2025,136.535,0.0277,3248.47,182523,0.065,0,2669.28
5/12/2025,136.6,0.0277,3234.7,181835,0.065,0,2678.915
5/9/2025,136.6,0.0277,3324.63,186891,0.065,0,2692.5
5/8/2025,137.145,0.0277,3305.52,186558,0.065,0,2687.38
5/7/2025,135.73,0.0277,3365.21,187967,0.065,0,2676.25
5/6/2025,135.1,0.0277,3430.21,190708,0.065,0,2625.7
5/5/2025,134.81,0.0277,3334.5,184989,0.065,0,2630.36
5/2/2025,135.335,0.0277,3240.88,180496,0.065,0,2645.67
5/1/2025,135.19,0.0277,3241.0,180309,0.065,0,2678.915
4/30/2025,135.19,0.0339,3288.59,182957,0.065,0,2642.07
4/29/2025,136.43,0.0339,3317.18,186240,0.065,0,2666.54
4/28/2025,136.055,0.0339,3341.67,187099,0.065,0,2676.05
4/25/2025,136.73,0.0339,3319.45,186777,0.065,0,2684.51
4/24/2025,136.425,0.0339,3349.1,188025,0.065,0,2668.06
4/23/2025,136.68,0.0339,3288.26,184954,0.065,0,2687.68
4/22/2025,136.31,0.0339,3382.54,189742,0.065,0,2707.86
4/21/2025,136.2,0.0339,3424.3,191930,0.065,0,2716.7
4/18/2025,136.59,0.0339,3236.21,181907,0.065,0,2731.81
4/17/2025,136.59,0.0339,3327.54,187041,0.065,0,2740.13
4/16/2025,137.08,0.0339,3343.22,188596,0.065,0,2704.97
4/15/2025,137.24,0.0339,3227.6,182286,0.065,0,2704.58
4/14/2025,137.66,0.0339,3209.28,181806,0.065,0,2701.12
4/11/2025,137.66,0.0339,3236.21,183332,0.065,0,2676.7
4/10/2025,138.7,0.0339,3173.92,181162,0.065,0,2687.92
4/9/2025,138.7,0.0339,3082.18,175925,0.065,0,2701.12
4/8/2025,138.02,0.0339,2983.78,169474,0.065,0,2674.88
4/7/2025,137.34,0.0339,2982.54,168569,0.065,0,2710.13
4/4/2025,136.38,0.0339,3037.36,170467,0.065,0,2701.58
4/3/2025,136.69,0.0339,3112.83,175100,0.065,0,2732.85
4/2/2025,136.8,0.0339,3133.57,176408,0.065,0,2712.25
4/1/2025,136.75,0.0339,3110.55,175048,0.065,0,2696.5
3/31/2025,136.75,0.0375,3123.05,175752,0.065,0,2718.95
3/28/2025,136.75,0.0375,3084.03,173556,0.065,0,2736.03
3/27/2025,137.25,0.0375,3056.1,172613,0.065,0,2665.17
3/26/2025,137.13,0.0375,3019.29,170385,0.065,0,2625.6
3/25/2025,137.21,0.0375,3019.85,170516,0.065,0,2652.87
3/24/2025,137.02,0.0375,3012.27,169852,0.065,0,2645.99
3/21/2025,137.56,0.0375,3023.63,171165,0.065,0,2669.0
3/20/2025,138.19,0.0375,3044.41,173130,0.065,0,2685.87
3/19/2025,138.31,0.0375,3047.18,173438,0.065,0,2706.16
3/18/2025,138.51,0.0375,3033.95,172935,0.065,0,2723.89
3/17/2025,138.88,0.0375,3001.47,171541,0.065,0,2732.51
3/14/2025,139.2,0.0375,2984.42,170959,0.065,0,2739.55
3/13/2025,139.2,0.0375,2987.75,171150,0.065,0,2736.03
3/12/2025,139.53,0.0375,2932.06,168358,0.065,0,2745.58
3/11/2025,139.54,0.0375,2916.04,167450,0.065,0,2762.25
3/10/2025,139.73,0.0375,2889.4,166146,0.065,0,2791.03
3/7/2025,139.0,0.0375,2910.79,166502,0.065,0,2819.92
3/6/2025,139.38,0.0375,2909.99,166911,0.065,0,2834.07
3/5/2025,139.13,0.0375,2918.84,167119,0.065,0,2850.16
3/4/2025,139.62,0.0375,2917.49,167630,0.065,0,2894.62
3/3/2025,139.79,0.0375,2893.71,166466,0.065,0,2929.21
2/28/2025,139.99,0.0416,2858.6,164681,0.065,0,2890.28
2/27/2025,139.52,0.0416,2876.19,165138,0.065,0,2827.15
2/26/2025,139.54,0.0416,2916.19,167459,0.065,0,2741.575
2/25/2025,139.54,0.0416,2915.12,167397,0.065,0,2781.95
2/24/2025,138.71,0.0416,2951.19,168461,0.065,0,2785.1
2/21/2025,138.74,0.0416,2936.03,167632,0.065,0,2768.9
2/20/2025,138.66,0.0416,2938.7,167687,0.065,0,2752.35
2/19/2025,139.12,0.0416,2932.64,167897,0.065,0,2741.575
2/18/2025,139.12,0.0416,2935.58,168065,0.065,0,2757.3
2/17/2025,139.0,0.0416,2897.66,165751,0.065,0,2738.0
2/14/2025,138.92,0.0416,2883.18,164828,0.065,0,2698.31
2/13/2025,139.04,0.0416,2929.03,167594,0.065,0,2697.34
2/12/2025,139.03,0.0416,2903.66,166130,0.065,0,2697.41
2/11/2025,138.92,0.0416,2898.34,165694,0.065,0,2691.91
2/10/2025,139.96,0.0416,2907.34,167453,0.065,0,2699.79
2/7/2025,139.88,0.0416,2860.39,164655,0.065,0,2725.95
2/6/2025,140.12,0.0416,2856.5,164713,0.065,0,2720.48
2/5/2025,139.94,0.0416,2865.09,164996,0.065,0,2726.07
2/4/2025,139.31,0.0416,2841.94,162926,0.065,0,2745.15
2/3/2025,139.5,0.0416,2813.49,161515,0.065,0,2764.17
1/31/2025,138.57,0.0514,2801.0,159726,0.065,0,2727.58
1/30/2025,138.6,0.0514,2793.88,159355,0.065,0,2645.72
1/29/2025,138.46,0.0514,2757.71,157133,0.065,0,2645.72
1/28/2025,138.44,0.0514,2763.11,157418,0.065,0,2657.96
1/27/2025,138.15,0.0514,2741.1,155837,0.065,0,2650.71
